"","X","Y","OBJECTID","DVRPC_ID","SEPTA_ID","TYPE","LINE","STATION","OPERATOR","GLOBALID","COUNTY","STATE"
"31",-75.2903181878526,39.9266675411889,123,124,90309,"Commuter Rail","Media/Elwyn Line","Clifton-Aldan","SEPTA","{B6447A0C-3DB3-4411-A3DA-FFCD0FFC8ACD}","Delaware","Pennsylvania"
"33",-75.020738894972,40.1278793913035,10,10,90320,"Commuter Rail","West Trenton Line","Forest Hills","SEPTA","{AE192EF2-C66E-4943-8481-0280A959301A}","Philadelphia","Pennsylvania"
"35",-75.2714350145702,39.9373015038851,70,71,90311,"Commuter Rail","Media/Elwyn Line","Lansdowne","SEPTA","{2666B56E-EC4A-4F68-9E98-2A45CDF66353}","Delaware","Pennsylvania"
"36",-74.7538834309671,40.2185537371211,301,302,0,"Commuter Rail","Northeast Corridor","Trenton Transit Center","NJ Transit","{42542F52-BCCE-4504-9049-5C01BE886E15}","Mercer","New Jersey"
"42",-75.3930087321401,39.8337006220378,61,62,90206,"Commuter Rail","Wilmington/Newark Line","Highland Avenue","SEPTA","{3D6B61CD-9BA9-4E0F-B431-2DCFFD0E8803}","Delaware","Pennsylvania"
"43",-75.2383531605646,39.944919322447,136,137,90313,"Commuter Rail","Media/Elwyn Line","Angora","SEPTA","{C897A6CA-5C6B-4ECA-99BD-66B7A73A8F4F}","Philadelphia","Pennsylvania"
"47",-75.158373769851,39.9526490658717,28,29,90006,"Commuter Rail","SEPTA Main Line","Jefferson Station","SEPTA","{C8ADEE24-D532-4947-A3B9-768FF7801234}","Philadelphia","Pennsylvania"
"53",-75.2256715253874,39.9901518652751,115,116,90003,"Commuter Rail","Cynwyd Line","Wynnefield Avenue","SEPTA","{2ECC1978-2D33-4D97-87AE-8FDCFEA4B39F}","Philadelphia","Pennsylvania"
"57",-75.2164938704909,39.9436249353454,137,138,90314,"Commuter Rail","Media/Elwyn Line","49th Street","SEPTA","{966365CF-DB7F-4951-9D6A-00A2568AFA25}","Philadelphia","Pennsylvania"
"58",-75.4606083276577,40.0429468778936,49,50,90507,"Commuter Rail","Paoli/Thorndale Line","Daylesford","SEPTA","{50FD4E80-F3AB-4B52-ACEE-D35DB02D7AF3}","Chester","Pennsylvania"
"61",-74.9844980947949,40.0544313254664,11,11,90707,"Commuter Rail","Trenton Line","Torresdale","SEPTA","{C65E22C6-6989-4425-97B2-DA904D87FABF}","Philadelphia","Pennsylvania"
"62",-75.4196013000868,39.8216251345461,127,128,90205,"Commuter Rail","Wilmington/Newark Line","Marcus Hook","SEPTA","{5B06926A-74FF-4C9A-A1E1-C758B39DBFDD}","Delaware","Pennsylvania"
"63",-75.1615084337992,40.0361871518348,147,148,90712,"Commuter Rail","Chestnut Hill East Line","Wister","SEPTA","{0F6134BD-2982-4AEE-824A-9DAA44EE7F8B}","Philadelphia","Pennsylvania"
"68",-75.0867418560189,40.0636635066005,145,146,90814,"Commuter Rail","Fox Chase Line","Ryers","SEPTA","{FA950E60-37DE-40B3-8D41-ADB6338EF408}","Philadelphia","Pennsylvania"
"71",-74.7040509461458,40.2553574699359,285,286,0,"Commuter Rail","Northeast Corridor","Hamilton","NJ Transit","{32CBB247-08AE-4948-B766-93A4F8C9CD4B}","Mercer","New Jersey"
"72",-75.3508923408597,39.9023331821529,60,61,90305,"Commuter Rail","Media/Elwyn Line","Swarthmore","SEPTA","{22088964-7CD0-462A-A00D-DA482422D702}","Delaware","Pennsylvania"
"78",-75.4837576760284,40.0429565477667,48,49,90506,"Commuter Rail","Paoli/Thorndale Line","Paoli","SEPTA","{40476312-FC8B-4024-BFF7-3595C1F5EF61}","Chester","Pennsylvania"
"79",-75.1652554826157,40.003788771145,110,111,90218,"Commuter Rail","Manayunk/Norristown Line","Allegheny","SEPTA","{41749398-AFEB-4615-8CD2-BDB3B335D475}","Philadelphia","Pennsylvania"
"80",-75.4424787414358,40.0480950379547,50,51,80508,"Commuter Rail","Paoli/Thorndale Line","Berwyn","SEPTA","{BF8B65EE-A598-4AC1-8E99-7C9E9F56E272}","Chester","Pennsylvania"
"84",-75.0238556831701,40.0326493132799,12,12,90708,"Commuter Rail","Trenton Line","Holmesburg Junction","SEPTA","{A74411B7-A7BE-46EB-8D1A-EEE0C8E103A6}","Philadelphia","Pennsylvania"
"85",-75.2400740585771,39.8790205401037,141,142,90401,"Commuter Rail","Airport Line","Airport Terminal E & F","SEPTA","{EC27626B-317E-4D01-888B-B124B1046804}","Philadelphia","Pennsylvania"
"87",-75.309846961155,39.9157529904722,16,17,90307,"Commuter Rail","Media/Elwyn Line","Secane","SEPTA","{D4EA93B0-27B2-4C63-8024-D9DA0EC796E4}","Delaware","Pennsylvania"
"88",-75.1869409638346,40.0351218575776,107,108,90807,"Commuter Rail","Chestnut Hill West Line","Tulpehocken","SEPTA","{FBD8C4EE-F72E-4B90-A549-30E65F8C4929}","Philadelphia","Pennsylvania"
