"","X","Y","OBJECTID","DVRPC_ID","SEPTA_ID","TYPE","LINE","STATION","OPERATOR","GLOBALID","COUNTY","STATE"
"252",-75.2277475837039,40.0010290668565,8,8,90002,"Commuter Rail","Cynwyd Line","Bala","SEPTA","{405EF532-64C7-4934-85FC-29D8D2CE04A7}","Montgomery","Pennsylvania"
"255",-75.3716048726029,39.9037480406354,59,60,90304,"Commuter Rail","Media/Elwyn Line","Wallingford","SEPTA","{E7ECA2CC-7D62-4C9C-94C7-F41EC81965DF}","Delaware","Pennsylvania"
"259",-75.4037376314965,40.0497124896505,52,53,90510,"Commuter Rail","Paoli/Thorndale Line","Strafford","SEPTA","{A7EE0B39-E287-4267-93F0-30A899C4923E}","Chester","Pennsylvania"
"261",-75.2446426265285,39.8764224299573,139,140,90403,"Commuter Rail","Airport Line","Airport Terminal B","SEPTA","{DFF8F4C6-7ED8-4A42-A674-AECFE353D650}","Philadelphia","Pennsylvania"
"264",-75.0005070936955,39.8338429469934,281,282,0,"Commuter Rail","Atlantic City Line","Lindenwold","NJ Transit","{E23963B9-DEA8-4B01-A625-A42B68BE35AB}","Camden","New Jersey"
"267",-75.3219289178278,39.8806229867205,65,66,90210,"Commuter Rail","Wilmington/Newark Line","Ridley Park","SEPTA","{35697B28-5DEA-48A0-81F5-EDC84D59A856}","Delaware","Pennsylvania"
"271",-75.3309607994985,39.8718702685891,64,65,90209,"Commuter Rail","Wilmington/Newark Line","Crum Lynne","SEPTA","{C02F11E8-0138-44AC-8C10-73248D8E182B}","Delaware","Pennsylvania"
"275",-75.0437958173473,40.1219083836688,92,93,90319,"Commuter Rail","West Trenton Line","Philmont","SEPTA","{5AA015B6-D288-430D-9FEF-8DEE11133711}","Montgomery","Pennsylvania"
"276",-75.1186490101595,40.133272513279,85,86,90414,"Commuter Rail","Warminster Line","Crestmont","SEPTA","{D1E143B0-AEA5-48F7-8220-E92C8A392F99}","Montgomery","Pennsylvania"
"277",-74.9522446938271,40.0717791692328,124,125,90706,"Commuter Rail","Trenton Line","Cornwells Heights","SEPTA","{A0FB9A07-0D8B-4D54-AC08-01F0F4158D20}","Bucks","Pennsylvania"
"278",-75.1617899254515,40.2972372201585,31,32,90537,"Commuter Rail","Lansdale/Doylestown Line","Delaware Valley College","SEPTA","{0994A83F-0A78-450A-B1F9-920DFF4E37B3}","Bucks","Pennsylvania"
"279",-74.9827546089801,40.1401402794803,35,36,90322,"Commuter Rail","West Trenton Line","Trevose","SEPTA","{4EB2434A-BF7D-4E6C-B0B1-01B3CD7B9985}","Bucks","Pennsylvania"
"286",-75.2467339510818,39.8760036831769,138,139,90404,"Commuter Rail","Airport Line","Airport Terminal A","SEPTA","{943FB0C4-6DFA-4F64-97AB-104CC109F0CE}","Philadelphia","Pennsylvania"
"293",-75.5155792212421,40.0364450325167,47,48,90505,"Commuter Rail","Paoli/Thorndale Line","Malvern","SEPTA","{3BC9A9BB-EBA5-424E-8C88-5F30870BE315}","Chester","Pennsylvania"
"296",-75.3600691255614,39.8494803252821,62,63,90207,"Commuter Rail","Wilmington/Newark Line","Chester Transportation Center","SEPTA","{52421259-FC75-4A17-865B-D287B8A29867}","Delaware","Pennsylvania"
"298",-75.1600417306795,40.0225080862436,131,132,90009,"Commuter Rail","SEPTA Main Line","Wayne Junction","SEPTA","{0CBF1104-69A7-4306-83F7-36D461FE999E}","Philadelphia","Pennsylvania"
"299",-75.38810170124,39.9058510100767,58,59,90303,"Commuter Rail","Media/Elwyn Line","Moylan-Rose Valley","SEPTA","{80CE869D-DF38-49F9-B1E1-85627F26EF1C}","Delaware","Pennsylvania"
"300",-75.0390238878196,40.0232259250954,13,13,90709,"Commuter Rail","Trenton Line","Tacony","SEPTA","{1E36072B-3CE5-486B-9B3E-FF685D04DE81}","Philadelphia","Pennsylvania"
"302",-75.1673386259548,39.9541969946567,27,28,90005,"Commuter Rail","SEPTA Main Line","Suburban Station","SEPTA","{601A8C2F-4207-4F13-8DBB-D7D5AA2226C3}","Philadelphia","Pennsylvania"
"304",-75.6384404326959,40.0147123685559,45,46,90503,"Commuter Rail","Paoli/Thorndale Line","Whitford","SEPTA","{5539826C-B70B-48B3-9700-FE3672C2CB2D}","Chester","Pennsylvania"
"305",-75.2558295202035,39.9397224510756,71,72,90312,"Commuter Rail","Media/Elwyn Line","Fernwood-Yeadon","SEPTA","{929C62FD-50D6-4440-8861-4BED0FE4CB70}","Delaware","Pennsylvania"
"306",-75.2355024768907,40.0341328384465,130,131,90222,"Commuter Rail","Manayunk/Norristown Line","Ivy Ridge","SEPTA","{07A027A5-8FFD-4788-8911-85B172EF4AE9}","Philadelphia","Pennsylvania"
"308",-75.1788073911463,40.0605440954115,84,85,90715,"Commuter Rail","Chestnut Hill East Line","Stenton","SEPTA","{274AC858-7F48-48FD-A8EA-553F8803EAC7}","Philadelphia","Pennsylvania"
"318",-75.2111044657546,40.0703058789327,103,104,90802,"Commuter Rail","Chestnut Hill West Line","Highland","SEPTA","{AE0C3018-1E0F-4435-9F8D-756D6ED6B67D}","Philadelphia","Pennsylvania"
"321",-75.1796647487945,40.2974895120312,32,33,90536,"Commuter Rail","Lansdale/Doylestown Line","New Britain","SEPTA","{A7E1DAF9-62C7-46B6-A213-B8019196C1C4}","Bucks","Pennsylvania"
"322",-75.2248996717271,40.1536580369709,75,76,90526,"Commuter Rail","Lansdale/Doylestown Line","Ambler","SEPTA","{EBF1EAE7-D66A-4E6B-9CDF-5A39676E62DC}","Montgomery","Pennsylvania"
"323",-75.2664136520036,40.0585570497799,93,94,90223,"Commuter Rail","Manayunk/Norristown Line","Miquon","SEPTA","{C935FFF6-F2DF-4D1E-A5F0-EAD590E46480}","Montgomery","Pennsylvania"
"324",-75.1377791143996,40.0932206072887,80,81,90410,"Commuter Rail","Glenside Combined","Jenkintown-Wyncote","SEPTA","{24EE88A9-3EEF-4E80-A87A-93A4DFAB81F6}","Montgomery","Pennsylvania"
"325",-75.1276710296715,40.0712328023253,81,82,90409,"Commuter Rail","Glenside Combined","Elkins Park","SEPTA","{04132055-83ED-4253-9C50-FDDAF6645D8C}","Montgomery","Pennsylvania"
"326",-75.1245054928906,40.1043642474315,88,89,90315,"Commuter Rail","West Trenton Line","Noble","SEPTA","{69393E63-D15B-4EAB-9EA7-BC4EA78BB018}","Montgomery","Pennsylvania"
"327",-75.1537142924085,40.1013438809543,79,80,90411,"Commuter Rail","Glenside Combined","Glenside","SEPTA","{B64D3F0B-E561-42DE-B432-5BA8934FD643}","Montgomery","Pennsylvania"
"328",-75.0890975810596,40.1951158800849,34,35,90417,"Commuter Rail","Warminster Line","Warminster","SEPTA","{17B1C0CC-B44D-41A4-A1C5-E7FB5AE56BA9}","Bucks","Pennsylvania"
"329",-75.2731184761858,40.002825783473,5,5,90519,"Commuter Rail","Paoli/Thorndale Line","Wynnewood","SEPTA","{3B2AB560-1837-4E93-B940-9EBEF506EBA1}","Montgomery","Pennsylvania"
"331",-74.8170164356414,40.1402588397796,40,41,90702,"Commuter Rail","Trenton Line","Levittown","SEPTA","{7C638D80-30D5-4F48-A17D-7CDFA9DB1914}","Bucks","Pennsylvania"
