X,Y,OBJECTID,DVRPC_ID,SEPTA_ID,TYPE,LINE,STATION,OPERATOR,GLOBALID,COUNTY,STATE
-75.3128054494437,39.9478495512735,239,240,0,Surface Trolley,Route 101 Trolley,Anderson Avenue,SEPTA,{3255E91A-B533-40B3-9574-920CC9E8A5FD},Delaware,Pennsylvania
-75.158373769851,39.9526490658717,28,29,90006,Commuter Rail,SEPTA Main Line,Jefferson Station,SEPTA,{C8ADEE24-D532-4947-A3B9-768FF7801234},Philadelphia,Pennsylvania
-75.1198274262562,39.9431120838056,314,315,0,Rapid Transit,PATCO,Broadway,PATCO,{05A47FE7-8D0D-4FEA-83F3-B992822BCFF9},Camden,New Jersey
-75.2982859696449,39.9934148689936,261,262,0,Rapid Transit,Norristown High Speed Line,Wynnewood Road,SEPTA,{8B547368-621D-42B6-BD8F-362B94245EF2},Delaware,Pennsylvania
-75.124736483945,39.9476530478189,278,279,0,Light Rail,RiverLine,Cooper Street/Rutgers University,NJ Transit,{4EC9481E-450F-443E-941C-B03F19FD6AF5},Camden,New Jersey
-75.280951843232,39.9103448186766,211,212,0,Surface Trolley,Route 102 Trolley,Collingdale,SEPTA,{29BFB151-8BB2-479C-8E7D-DCCC8C8C51ED},Delaware,Pennsylvania
-75.3579014973912,39.9153697514811,216,217,0,Surface Trolley,Route 101 Trolley,Paper Mill Road,SEPTA,{337FDACA-CC2D-451A-AFBB-AFE1B5C4EB00},Delaware,Pennsylvania
-75.2256715253874,39.9901518652751,115,116,90003,Commuter Rail,Cynwyd Line,Wynnefield Avenue,SEPTA,{2ECC1978-2D33-4D97-87AE-8FDCFEA4B39F},Philadelphia,Pennsylvania
-75.0838643219189,40.0165954876683,151,152,0,Subway-Elevated,Market/Frankford Line,Arrott Transportation Center,SEPTA,{BE719004-B17B-4B9F-B2C2-ADCDA662E9E3},Philadelphia,Pennsylvania
-75.2407096408235,39.9619704484186,164,165,0,Subway-Elevated,Market/Frankford Line,60th Street,SEPTA,{A04F888A-F59E-43CE-AA68-1297BB1092D8},Philadelphia,Pennsylvania
-75.4837576760284,40.0429565477667,319,320,0,Intercity Passenger Rail,Amtrak (Multiple Routes),Paoli,Amtrak,{ECB10CA1-EFC5-4D65-BA8E-F890472B04DB},Chester,Pennsylvania
-75.2164938704909,39.9436249353454,137,138,90314,Commuter Rail,Media/Elwyn Line,49th Street,SEPTA,{966365CF-DB7F-4951-9D6A-00A2568AFA25},Philadelphia,Pennsylvania
-75.4606083276577,40.0429468778936,49,50,90507,Commuter Rail,Paoli/Thorndale Line,Daylesford,SEPTA,{50FD4E80-F3AB-4B52-ACEE-D35DB02D7AF3},Chester,Pennsylvania
-75.1403967272336,39.9605421361504,174,175,0,Subway-Elevated,Market/Frankford Line,Spring Garden,SEPTA,{9FDED854-431E-4449-B4E1-A1C9132C75D4},Philadelphia,Pennsylvania
-75.2815775965579,39.9747683874277,264,265,0,Rapid Transit,Norristown High Speed Line,Township Line Road,SEPTA,{A6442994-E020-4E04-92B1-9899B63640EF},Delaware,Pennsylvania
-74.9844980947949,40.0544313254664,11,11,90707,Commuter Rail,Trenton Line,Torresdale,SEPTA,{C65E22C6-6989-4425-97B2-DA904D87FABF},Philadelphia,Pennsylvania
-75.4196013000868,39.8216251345461,127,128,90205,Commuter Rail,Wilmington/Newark Line,Marcus Hook,SEPTA,{5B06926A-74FF-4C9A-A1E1-C758B39DBFDD},Delaware,Pennsylvania
-75.1615084337992,40.0361871518348,147,148,90712,Commuter Rail,Chestnut Hill East Line,Wister,SEPTA,{0F6134BD-2982-4AEE-824A-9DAA44EE7F8B},Philadelphia,Pennsylvania
-75.3454506373824,39.9211186156963,240,241,0,Surface Trolley,Route 101 Trolley,Thomson Avenue,SEPTA,{01E5C55A-797F-4852-8E0E-057A42A7575B},Delaware,Pennsylvania
-75.3769147975904,39.9161786471571,218,219,0,Surface Trolley,Route 101 Trolley,Beatty Road,SEPTA,{6FD97EC8-32EF-48A2-89AF-708B1FD3192D},Delaware,Pennsylvania
-75.2855787315317,39.9176696598977,208,209,0,Surface Trolley,Route 102 Trolley,North Street,SEPTA,{B36055F2-D217-410E-AD4C-721A6BBA0D50},Delaware,Pennsylvania
-75.2742178760077,39.968692587642,265,266,0,Rapid Transit,Norristown High Speed Line,Parkview,SEPTA,{F70713D9-7726-4830-92E6-E61D1651D97C},Delaware,Pennsylvania
-75.0867418560189,40.0636635066005,145,146,90814,Commuter Rail,Fox Chase Line,Ryers,SEPTA,{FA950E60-37DE-40B3-8D41-ADB6338EF408},Philadelphia,Pennsylvania
-75.2327992013263,39.9609897259319,163,164,0,Subway-Elevated,Market/Frankford Line,56th Street,SEPTA,{0F85204A-972C-4B11-80B8-45EF0AAE683C},Philadelphia,Pennsylvania
-75.1553237662344,39.997264912056,322,323,0,Intercity Passenger Rail,Amtrak (Multiple Routes),North Philadelphia,Amtrak,{3D2E9862-B1D2-4953-A57E-1FF757AC5F9F},Philadelphia,Pennsylvania
-74.7040509461458,40.2553574699359,285,286,0,Commuter Rail,Northeast Corridor,Hamilton,NJ Transit,{32CBB247-08AE-4948-B766-93A4F8C9CD4B},Mercer,New Jersey
-75.3508923408597,39.9023331821529,60,61,90305,Commuter Rail,Media/Elwyn Line,Swarthmore,SEPTA,{22088964-7CD0-462A-A00D-DA482422D702},Delaware,Pennsylvania
-75.0961641092153,40.0059457409113,167,168,0,Subway-Elevated,Market/Frankford Line,Erie-Torresdale,SEPTA,{7A15861B-E703-4DEA-89E9-54FD057CE469},Philadelphia,Pennsylvania
-75.1710884799093,39.9168050102244,183,184,0,Subway,Broad Street Line,Oregon,SEPTA,{AA07597B-3BC1-4617-B92C-ACF32E935001},Philadelphia,Pennsylvania
-75.3473400388267,40.0501174353596,252,253,0,Rapid Transit,Norristown High Speed Line,County Line,SEPTA,{799A246C-D72B-4234-A18E-03AF5CD669F1},Delaware,Pennsylvania
-75.1822544237144,39.9566448041891,321,322,0,Intercity Passenger Rail,Amtrak (Multiple Routes),30th Street Station,Amtrak,{A67768B7-D188-4CCB-82FA-10B6AA71260F},Philadelphia,Pennsylvania
-75.321462016851,39.9448409879526,233,234,0,Surface Trolley,Route 101 Trolley,Drexeline,SEPTA,{E02C20E6-0D29-4FA3-8A65-CECE2A59FCF7},Delaware,Pennsylvania
-75.4837576760284,40.0429565477667,48,49,90506,Commuter Rail,Paoli/Thorndale Line,Paoli,SEPTA,{40476312-FC8B-4024-BFF7-3595C1F5EF61},Chester,Pennsylvania
-75.1652554826157,40.003788771145,110,111,90218,Commuter Rail,Manayunk/Norristown Line,Allegheny,SEPTA,{41749398-AFEB-4615-8CD2-BDB3B335D475},Philadelphia,Pennsylvania
-75.4424787414358,40.0480950379547,50,51,80508,Commuter Rail,Paoli/Thorndale Line,Berwyn,SEPTA,{BF8B65EE-A598-4AC1-8E99-7C9E9F56E272},Chester,Pennsylvania
-74.8690032910971,40.0745803769363,292,293,0,Light Rail,RiverLine,Burlington South,NJ Transit,{F1B3AEA0-0DC0-4527-825A-13580C1C1F47},Burlington,New Jersey
-75.3035194840962,39.9961759866916,270,271,0,Rapid Transit,Norristown High Speed Line,Ardmore Junction,SEPTA,{22850E3B-A473-4779-BDB6-09C3A2C002F4},Delaware,Pennsylvania
-75.2746085046877,39.9551075544389,223,224,0,Surface Trolley,Route 101 & 102 Trolley Lines,Beverly Hills,SEPTA,{D4C634B2-6953-4C83-B021-D364A9FF7217},Delaware,Pennsylvania
-75.0238556831701,40.0326493132799,12,12,90708,Commuter Rail,Trenton Line,Holmesburg Junction,SEPTA,{A74411B7-A7BE-46EB-8D1A-EEE0C8E103A6},Philadelphia,Pennsylvania
-75.2400740585771,39.8790205401037,141,142,90401,Commuter Rail,Airport Line,Airport Terminal E & F,SEPTA,{EC27626B-317E-4D01-888B-B124B1046804},Philadelphia,Pennsylvania
-74.7558067521876,40.2119610019962,286,287,0,Light Rail,RiverLine,Hamilton Avenue,NJ Transit,{9765A216-7473-432A-82D0-4DAB82DC2C83},Mercer,New Jersey
-75.309846961155,39.9157529904722,16,17,90307,Commuter Rail,Media/Elwyn Line,Secane,SEPTA,{D4EA93B0-27B2-4C63-8024-D9DA0EC796E4},Delaware,Pennsylvania
-75.1869409638346,40.0351218575776,107,108,90807,Commuter Rail,Chestnut Hill West Line,Tulpehocken,SEPTA,{FBD8C4EE-F72E-4B90-A549-30E65F8C4929},Philadelphia,Pennsylvania
-75.2920269313892,39.9287727292077,203,204,0,Surface Trolley,Route 102 Trolley,Penn Street,SEPTA,{1A7093D0-7C46-451F-9659-4E68674E2E1F},Delaware,Pennsylvania
-75.0698758587014,40.0107133384407,14,15,90710,Commuter Rail,Trenton Line,Bridesburg,SEPTA,{8F6C1235-9057-416D-AE1B-3B748E7B7AC4},Philadelphia,Pennsylvania
-74.8050609106368,40.0999904179917,290,291,0,Light Rail,RiverLine,Florence,NJ Transit,{81239A5E-3F16-4978-9DD4-A4FCC46B9B9A},Burlington,New Jersey
-75.1903272730018,39.947837077339,120,121,90406,Commuter Rail,Glenside Combined,University City,SEPTA,{DF396181-064A-434D-940C-AB5EF30824ED},Philadelphia,Pennsylvania
-75.3233467818816,40.0179974729846,258,259,0,Rapid Transit,Norristown High Speed Line,Bryn Mawr,SEPTA,{CED656F4-3C00-4132-86A3-C080A3500613},Delaware,Pennsylvania
-74.6241020354391,40.3160270364101,325,326,0,Intercity Passenger Rail,Amtrak (Multiple Routes),Princeton Junction,Amtrak,{1FF45C2C-0ED0-4744-9F91-8CC563349621},Mercer,New Jersey
-75.1274182919783,39.9887950870594,171,172,0,Subway-Elevated,Market/Frankford Line,Huntingdon,SEPTA,{7FE2A6BC-2656-4E19-835A-3C84FF1997E0},Philadelphia,Pennsylvania
-75.2928938769107,39.9312440671321,202,203,0,Surface Trolley,Route 102 Trolley,Baltimore Pike,SEPTA,{63E4DB67-2DDA-4249-A94D-D1FF74B3E9FE},Delaware,Pennsylvania
-75.2592801422526,39.9626282515146,159,160,0,Subway-Elevated,Market/Frankford Line,69th Street Terminal,SEPTA,{B47499C1-5F8F-42A2-994D-6E69084336EA},Delaware,Pennsylvania
-75.2965263502292,39.9422654497441,236,237,0,Surface Trolley,Route 102 Trolley,Drexel Manor,SEPTA,{DBA7A195-DE93-4482-85F9-CE425C3A1233},Delaware,Pennsylvania
-74.9503538715667,40.0480861022373,294,295,0,Light Rail,RiverLine,Delanco,NJ Transit,{CFA117FA-3572-447D-9F9F-E948A8088C2E},Burlington,New Jersey
-75.1335129522225,39.9786359704132,172,173,0,Subway-Elevated,Market/Frankford Line,Berks,SEPTA,{66A6F62E-AF26-410C-8D10-13BB19DD4823},Philadelphia,Pennsylvania
-75.0928488972257,40.0578721071681,144,145,90813,Commuter Rail,Fox Chase Line,Cheltenham,SEPTA,{CE5259A0-E393-4E4D-BF40-EC06F0C124C1},Philadelphia,Pennsylvania
-75.2998919090264,39.9487162331819,230,231,0,Surface Trolley,Route 101 Trolley,School Avenue,SEPTA,{C312FD3B-EEDB-4443-A9AA-12480FCA2CF8},Delaware,Pennsylvania
-75.1594456743394,39.9714654908458,190,191,0,Subway,Broad Street Line,Girard,SEPTA,{AE69541B-86BC-4B22-A598-A7BC83CBDF86},Philadelphia,Pennsylvania
-75.2650075455507,39.9080271449642,18,19,90216,Commuter Rail,Wilmington/Newark Line,Curtis Park,SEPTA,{1B5F0A9B-488C-455A-A1CF-EEAD01A9AD86},Delaware,Pennsylvania
-75.192063864192,40.0114202867759,111,112,90219,Commuter Rail,Manayunk/Norristown Line,East Falls,SEPTA,{C3AFE841-F433-422F-91D0-6ABE730A679A},Philadelphia,Pennsylvania
-75.2713079332722,39.9040961011564,17,18,90215,Commuter Rail,Wilmington/Newark Line,Sharon Hill,SEPTA,{906A3291-A4AF-418E-ACDB-BDBF5E2EF936},Delaware,Pennsylvania
-75.0112182079135,39.8701872646474,309,310,0,Rapid Transit,PATCO,Woodcrest,PATCO,{C53BB155-5F09-4A7C-98AB-09DA2C1A33C8},Camden,New Jersey
-75.2101994271826,40.0165622630067,112,113,90220,Commuter Rail,Manayunk/Norristown Line,Wissahickon Transportation Center,SEPTA,{3154FB05-4F00-4AF2-AA95-F10FD18CAF2E},Philadelphia,Pennsylvania
-75.1544774219537,39.9942514180973,132,133,90008,Commuter Rail,SEPTA Main Line,North Broad,SEPTA,{A4EA0713-F82E-49F6-A839-7CBC4730420B},Philadelphia,Pennsylvania
-75.3021122904193,39.8912409506167,67,68,90212,Commuter Rail,Wilmington/Newark Line,Norwood,SEPTA,{27AA23C0-2ED0-4C88-9D9A-C219657397EB},Delaware,Pennsylvania
-75.1032156028228,40.0513472549139,117,118,90812,Commuter Rail,Fox Chase Line,Lawndale,SEPTA,{8032DA88-11D9-465E-81AB-59C75267EB77},Montgomery,Pennsylvania
-75.1531625728752,40.1141682999816,87,88,90412,Commuter Rail,Warminster Line,Ardsley,SEPTA,{B4A10BF9-BBDC-43BF-8C81-A2DAD9B9BB8C},Montgomery,Pennsylvania
-75.3394722031811,40.0580720106726,269,270,0,Rapid Transit,Norristown High Speed Line,Matsonford,SEPTA,{69164ADA-7509-455F-842F-3C34F10EA308},Montgomery,Pennsylvania
-75.2817189380641,40.2301216412485,26,27,90530,Commuter Rail,Lansdale/Doylestown Line,Pennbrook,SEPTA,{10C858CF-1BC2-4C45-A75E-6E17288D3685},Montgomery,Pennsylvania
-75.1308434303368,40.3060224773215,30,31,90538,Commuter Rail,Lansdale/Doylestown Line,Doylestown,SEPTA,{1094B7DD-4A13-41F0-9031-1DCE8EF29D43},Bucks,Pennsylvania
-75.2662882742039,40.2595313748631,24,25,90532,Commuter Rail,Lansdale/Doylestown Line,Fortuna,SEPTA,{0DFE203A-2C55-4EE6-80FE-0D4A44F315B4},Montgomery,Pennsylvania
-75.231820697039,40.0067721150724,9,9,90001,Commuter Rail,Cynwyd Line,Cynwyd,SEPTA,{3709FEE2-E65A-4435-A145-FE2F58383EC4},Montgomery,Pennsylvania
-75.1106682219736,40.1074289093626,89,90,90316,Commuter Rail,West Trenton Line,Rydal,SEPTA,{C65C87BE-3A56-485A-A7C0-79B59DAB2AB3},Montgomery,Pennsylvania
-74.8909075209085,40.1908661008872,38,39,90325,Commuter Rail,West Trenton Line,Woodbourne,SEPTA,{75369FE9-2394-4828-A5A1-36044925EF48},Bucks,Pennsylvania
-75.1780590849501,40.0232858660891,109,110,90809,Commuter Rail,Chestnut Hill West Line,Queen Lane,SEPTA,{12A65D97-2546-48C4-AC6B-D86C28548106},Philadelphia,Pennsylvania
-74.8594258407271,40.0773377581788,291,292,0,Light Rail,RiverLine,Burlington Town Centre,NJ Transit,{A3E1FBB0-AC8E-4CDD-AAF2-A42D156101BA},Burlington,New Jersey
-75.2690710140724,39.9577000821481,221,222,0,Surface Trolley,Route 101 & 102 Trolley Lines,Bywood,SEPTA,{6234BC3C-788D-479A-BA3E-668B0F17DD41},Delaware,Pennsylvania
-75.083410693103,40.0763930679997,146,147,90815,Commuter Rail,Fox Chase Line,Fox Chase,SEPTA,{E4DF87D9-249F-40CC-9AD7-1AE328475DE0},Philadelphia,Pennsylvania
-75.2798731819394,39.9005091740313,134,135,90214,Commuter Rail,Wilmington/Newark Line,Folcroft,SEPTA,{042C7A12-F2C0-4AF4-ADE8-687D4CF0798D},Delaware,Pennsylvania
-75.2821229251308,39.9327630141621,69,70,90310,Commuter Rail,Media/Elwyn Line,Gladstone,SEPTA,{07675E8B-36F6-4BB0-8C12-37781DEE194A},Delaware,Pennsylvania
-75.2868012050436,39.9193840373172,207,208,0,Surface Trolley,Route 102 Trolley,Magnolia Avenue,SEPTA,{13F53304-C43C-4799-B0DA-F063FF6A86FD},Delaware,Pennsylvania
-75.1614769060046,39.9477101553416,303,304,0,Rapid Transit,PATCO,12th-13th & Locust Street,PATCO,{8FD436AC-AFC2-4FD0-82F4-70A2518AD931},Philadelphia,Pennsylvania
-75.3946909702067,39.9142548946996,57,58,90302,Commuter Rail,Media/Elwyn Line,Media,SEPTA,{B5BEFD87-5CB9-43A0-A19E-57C0EF3FA4B3},Delaware,Pennsylvania
-75.3856449804176,39.9173954031243,246,247,0,Surface Trolley,Route 101 Trolley,Edgmont Street,SEPTA,{5A4309DE-0508-4F56-811B-034EC837D148},Delaware,Pennsylvania
-75.1494334833375,39.9816587932341,118,119,90007,Commuter Rail,SEPTA Main Line,Temple University,SEPTA,{65D469CF-D3A7-4529-9D7A-F57005F619EB},Philadelphia,Pennsylvania
-75.7105783053413,40.0020769931279,44,45,90502,Commuter Rail,Paoli/Thorndale Line,Downingtown,SEPTA,{D5749558-4F65-4CE4-AAE4-2CB42DA93496},Chester,Pennsylvania
-75.244955415373,39.8916901093393,119,120,90405,Commuter Rail,Airport Line,Eastwick,SEPTA,{3A528906-0003-4463-BE2F-793ACB5F8739},Philadelphia,Pennsylvania
-75.1553237662344,39.997264912056,271,272,90810,Commuter Rail,Trenton Line,North Philadelphia,SEPTA,{B55DBA8E-1E73-4ADF-9F74-2F05E54FC653},Philadelphia,Pennsylvania
-75.1535613840108,39.9510487417225,177,178,0,Subway-Elevated,Market/Frankford Line,8th Street,SEPTA,{6F1C2EDC-322B-464B-8E30-A239857660B5},Philadelphia,Pennsylvania
-75.1910746052942,40.0652757641041,98,99,90717,Commuter Rail,Chestnut Hill East Line,Mount Airy,SEPTA,{538504C2-D969-4F11-8A7D-5174C78F47CF},Philadelphia,Pennsylvania
-75.1719277255968,40.0378573216873,148,149,90713,Commuter Rail,Chestnut Hill East Line,Germantown,SEPTA,{64BA6905-274D-4522-97B0-AA52F907DD5E},Philadelphia,Pennsylvania
-75.3284815307596,39.9080064695169,15,16,90306,Commuter Rail,Media/Elwyn Line,Morton,SEPTA,{99F5E1C6-87E6-4B3A-82AD-1305078128D9},Delaware,Pennsylvania
-75.2926768339562,39.9273709392175,212,213,0,Surface Trolley,Route 102 Trolley,Springfield Road,SEPTA,{5DFD96EE-1FD0-4DAE-8FB8-7B843280C825},Delaware,Pennsylvania
-75.2019624815879,39.9571534158683,157,158,0,Subway-Elevated,Market/Frankford Line,40th Street,SEPTA,{5EBBF6D3-A713-4DAA-848E-051C706E7C1E},Philadelphia,Pennsylvania
-75.1822544237096,39.9566448023872,273,274,0,Commuter Rail,Atlantic City Line,30th Street Station,NJ Transit,{2BE371E5-714D-4229-A468-A0B97498F4F9},Philadelphia,Pennsylvania
-75.3439691355586,40.0340470770481,254,255,0,Rapid Transit,Norristown High Speed Line,Villanova,SEPTA,{BA45B500-72C8-40C6-8DE9-9D2B7FEA6A17},Delaware,Pennsylvania
-75.1560405440175,39.9870842106185,192,193,0,Subway,Broad Street Line,Susquehanna-Dauphin,SEPTA,{1F392634-C8BD-4C6E-9241-155A75BD7C6B},Philadelphia,Pennsylvania
